
SetupTitle, Posi Sweep(1)(1)
PrimitiveTest, I/V Sweep
TestParameter, AutoAnalysis.Line2.GradientExpr, 0
TestParameter, AutoAnalysis.Marker.Enabled, false
TestParameter, AutoAnalysis.Marker.Data.Var, 
TestParameter, AutoAnalysis.Marker.Data.Condition, 
TestParameter, AutoAnalysis.Marker.Data.Start, false
TestParameter, AutoAnalysis.Marker.Data.StartVar, 
TestParameter, AutoAnalysis.Marker.Data.StartCondition, 
MetaData, TestRecord.EntryPoint, true
MetaData, TestRecord.RecordTime, 10/30/2025 12:30:16
MetaData, TestRecord.TestTarget, 
MetaData, TestRecord.IterationIndex, 1
MetaData, TestRecord.Preservation, true
MetaData, TestRecord.Flag, 
MetaData, TestRecord.Remarks, 
MetaData, TestRecord.LinkKey, f9d37c7c-6bf1-4c79-9941-67520015a447
AnalysisSetup, Analysis.Setup.Vector.Graph.Enabled, true
AnalysisSetup, Analysis.Setup.Vector.Graph.ActiveYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.LeftYAxis, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.RightYAxis, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Name, V1
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Unit, V
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Scale, Linear
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Left, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.XAxis.Right, 20
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Name, Abs_Id
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.GroupName, 
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Unit, A
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Scale, Log
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Bottom, 1E-14
AnalysisSetup, Analysis.Setup.Vector.Graph.YAxis.Top, 1E-07
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Interpolation, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Index, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Marker.Step, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.Active, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalX, 0.75
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Cursor.NormalY, 0.6428571428571429
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalX, 0.75
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor1.NormalY, 0.6428571428571429
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalX, 0.75
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Cursor2.NormalY, 0.6428571428571429
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line1.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Fix, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Type, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.YAxisIndex, 0
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastIndex, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.LastStep, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalX, 0.75
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor1.NormalY, 0.6428571428571429
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Enabled, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.Active, false
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalX, 0.75
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Cursor2.NormalY, 0.6428571428571429
AnalysisSetup, Analysis.Setup.Vector.Graph.Operation.Line2.Gradient, 
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.BackgroundColor, -1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.TextColor, -16777215
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridColor, -3618616
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LineColor, -65336
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.PlotColor, -65536
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y1.Thickness, 2
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.PlotColor, -16776961
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y2.Thickness, 1
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.PlotColor, -16731136
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y3.Thickness, 2
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.PlotColor, -8892376
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y4.Thickness, 2
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.PlotColor, -8355712
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y5.Thickness, 2
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.PlotColor, -32640
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y6.Thickness, 2
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.PlotColor, -6946586
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y7.Thickness, 2
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Visible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.PlotColor, -16733546
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Plots.Y8.Thickness, 2
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.AxisTitle.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.ScaleText.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.FontName, Tahoma
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.RelativeSize, Medium
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Text.Legend.Size, 7
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.Scale.LogTickedDecadeCount, 6
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.LogoVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.GridVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Preference.SetupSummaryVisible, true
AnalysisSetup, Analysis.Setup.Vector.Graph.Notes, 
AnalysisSetup, Analysis.Setup.Preference.GraphVisible, true
AnalysisSetup, Analysis.Setup.Preference.ListVisible, false
AnalysisSetup, Analysis.Setup.Preference.ScalarVisible, false
AnalysisSetup, Analysis.Setup.Title, Posi Sweep(1)(1)
Dimension1, 202, 202, 202, 202, 202, 202, 202, 202, 202, 202, 202
Dimension2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1
DataName, V1, V3, I1, I3, Abs_Id, SQRT_Id, SS, gm, Mobility, Ig, Is
DataValue, 0, 2, 1.3000000000000001E-14, 1.992E-12, 1.3000000000000001E-14, 1.1401754250991381E-07, 0, , , 1.992E-12, 1.3000000000000001E-14
DataValue, 0.2, 2, 7.6800000000000006E-13, 1.024E-12, 7.6800000000000006E-13, 8.7635609200826583E-07, 0, , , 1.024E-12, 7.6800000000000006E-13
DataValue, 0.4, 2, 1.6820000000000001E-12, 6.7200000000000006E-13, 1.6820000000000001E-12, 1.296919426949878E-06, 0, , , 6.7200000000000006E-13, 1.6820000000000001E-12
DataValue, 0.6, 2, 2.7730000000000004E-12, 5.22E-13, 2.7730000000000004E-12, 1.6652327164693829E-06, 0, , , 5.22E-13, 2.7730000000000004E-12
DataValue, 0.8, 2, 4.0930000000000004E-12, 4.13E-13, 4.0930000000000004E-12, 2.0231164079212052E-06, 0, , , 4.13E-13, 4.0930000000000004E-12
DataValue, 1, 2, 5.6630000000000004E-12, 2.9700000000000005E-13, 5.6630000000000004E-12, 2.3797058641773356E-06, 0, , , 2.9700000000000005E-13, 5.6630000000000004E-12
DataValue, 1.2, 2, 7.427E-12, 2.17E-13, 7.427E-12, 2.7252522818997878E-06, 0, , , 2.17E-13, 7.427E-12
DataValue, 1.4000000000000001, 2, 9.827E-12, 3.0100000000000003E-13, 9.827E-12, 3.134804619111054E-06, 0, , , 3.0100000000000003E-13, 9.827E-12
DataValue, 1.6, 2, 1.2518000000000001E-11, 1.77E-13, 1.2518000000000001E-11, 3.5380785745938434E-06, 0, , , 1.77E-13, 1.2518000000000001E-11
DataValue, 1.8, 2, 1.6113E-11, 2.2900000000000003E-13, 1.6113E-11, 4.0141001482274956E-06, 0, , , 2.2900000000000003E-13, 1.6113E-11
DataValue, 2, 2, 2.0290000000000002E-11, 2.6E-13, 2.0290000000000002E-11, 4.5044422518220832E-06, 0, , , 2.6E-13, 2.0290000000000002E-11
DataValue, 2.2, 2, 2.5742E-11, 1.9100000000000002E-13, 2.5742E-11, 5.0736574578897221E-06, 0, , , 1.9100000000000002E-13, 2.5742E-11
DataValue, 2.4, 2, 3.3084000000000006E-11, 2.57E-13, 3.3084000000000006E-11, 5.7518692613792956E-06, 0, , , 2.57E-13, 3.3084000000000006E-11
DataValue, 2.6, 2, 4.3008000000000004E-11, 2.06E-13, 4.3008000000000004E-11, 6.5580484902141436E-06, 0, , , 2.06E-13, 4.3008000000000004E-11
DataValue, 2.8000000000000003, 2, 5.7114000000000006E-11, 3.5E-14, 5.7114000000000006E-11, 7.5573804985590088E-06, 0, , , 3.5E-14, 5.7114000000000006E-11
DataValue, 3, 2, 7.6597000000000012E-11, 2.32E-13, 7.6597000000000012E-11, 8.75197120653399E-06, 0, , , 2.32E-13, 7.6597000000000012E-11
DataValue, 3.2, 2, 1.0733500000000001E-10, -3.8E-14, 1.0733500000000001E-10, 1.036026061448263E-05, 0, , , -3.8E-14, 1.0733500000000001E-10
DataValue, 3.4, 2, 1.5716500000000002E-10, 1.4500000000000001E-13, 1.5716500000000002E-10, 1.2536546573917397E-05, 0, , , 1.4500000000000001E-13, 1.5716500000000002E-10
DataValue, 3.6, 2, 2.16362E-10, 1.6000000000000003E-13, 2.16362E-10, 1.4709248791151778E-05, 0, , , 1.6000000000000003E-13, 2.16362E-10
DataValue, 3.8000000000000003, 2, 2.9858100000000003E-10, 1.4300000000000002E-13, 2.9858100000000003E-10, 1.727949652044295E-05, 0, , , 1.4300000000000002E-13, 2.9858100000000003E-10
DataValue, 4, 2, 4.57384E-10, 1.9200000000000002E-13, 4.57384E-10, 2.1386537821723271E-05, 0, , , 1.9200000000000002E-13, 4.57384E-10
DataValue, 4.2, 2, 6.4761E-10, 2.33E-13, 6.4761E-10, 2.5448182646310915E-05, 0, , , 2.33E-13, 6.4761E-10
DataValue, 4.4, 2, 8.1207400000000011E-10, 8.5E-14, 8.1207400000000011E-10, 2.8496912113420291E-05, 0, , , 8.5E-14, 8.1207400000000011E-10
DataValue, 4.6000000000000005, 2, 1.13078E-09, 1.0000000000000002E-14, 1.13078E-09, 3.3627072426840846E-05, 0, , , 1.0000000000000002E-14, 1.13078E-09
DataValue, 4.8, 2, 1.52225E-09, 1.1100000000000001E-13, 1.52225E-09, 3.9016022349798804E-05, 0, , , 1.1100000000000001E-13, 1.52225E-09
DataValue, 5, 2, 1.88915E-09, -5.2000000000000006E-14, 1.88915E-09, 4.34643532104183E-05, 0, , , -5.2000000000000006E-14, 1.88915E-09
DataValue, 5.2, 2, 2.52355E-09, -4.7E-14, 2.52355E-09, 5.0234947994399276E-05, 0, , , -4.7E-14, 2.52355E-09
DataValue, 5.4, 2, 3.26276E-09, 7.9E-14, 3.26276E-09, 5.7120574226805532E-05, 0, , , 7.9E-14, 3.26276E-09
DataValue, 5.6000000000000005, 2, 4.17571E-09, -1.5000000000000002E-14, 4.17571E-09, 6.4619733827987877E-05, 0, , , -1.5000000000000002E-14, 4.17571E-09
DataValue, 5.8, 2, 5.1141299999999996E-09, 1.75E-13, 5.1141299999999996E-09, 7.1513145644699471E-05, 0, , , 1.75E-13, 5.1141299999999996E-09
DataValue, 6, 2, 6.03365E-09, 1E-15, 6.03365E-09, 7.7676573044902023E-05, 0, , , 1E-15, 6.03365E-09
DataValue, 6.2, 2, 7.1979799999999996E-09, 1.17E-13, 7.1979799999999996E-09, 8.4840909943257917E-05, 0, , , 1.17E-13, 7.1979799999999996E-09
DataValue, 6.4, 2, 8.31763E-09, 1.36E-13, 8.31763E-09, 9.12010416607179E-05, 0, , , 1.36E-13, 8.31763E-09
DataValue, 6.6000000000000005, 2, 9.69216E-09, -1.6800000000000002E-13, 9.69216E-09, 9.8448768402657018E-05, 0, , , -1.6800000000000002E-13, 9.69216E-09
DataValue, 6.8, 2, 1.106335E-08, -7.4E-14, 1.106335E-08, 0.00010518246051504976, 0, , , -7.4E-14, 1.106335E-08
DataValue, 7, 2, 1.2080999999999999E-08, 8.5E-14, 1.2080999999999999E-08, 0.00010991360243391169, 0, , , 8.5E-14, 1.2080999999999999E-08
DataValue, 7.2, 2, 1.2566799999999998E-08, -2.46E-13, 1.2566799999999998E-08, 0.0001121017395047909, 0, , , -2.46E-13, 1.2566799999999998E-08
DataValue, 7.4, 2, 1.2704899999999998E-08, -2.96E-13, 1.2704899999999998E-08, 0.00011271601483374046, 0, , , -2.96E-13, 1.2704899999999998E-08
DataValue, 7.6000000000000005, 2, 1.2724099999999999E-08, -1.69E-13, 1.2724099999999999E-08, 0.00011280115247638209, 0, , , -1.69E-13, 1.2724099999999999E-08
DataValue, 7.8, 2, 1.2719099999999998E-08, -2.67E-13, 1.2719099999999998E-08, 0.00011277898740456929, -0, , , -2.67E-13, 1.2719099999999998E-08
DataValue, 8, 2, 1.2717999999999999E-08, -4.34E-13, 1.2717999999999999E-08, 0.00011277411050414009, -0, , , -4.34E-13, 1.2717999999999999E-08
DataValue, 8.2, 2, 1.2709799999999998E-08, -4.2500000000000006E-13, 1.2709799999999998E-08, 0.00011273774878007809, -0, , , -4.2500000000000006E-13, 1.2709799999999998E-08
DataValue, 8.4, 2, 1.2702799999999999E-08, -3.89E-13, 1.2702799999999999E-08, 0.00011270669900232194, -0, , , -3.89E-13, 1.2702799999999999E-08
DataValue, 8.6, 2, 1.2696899999999999E-08, -4.74E-13, 1.2696899999999999E-08, 0.00011268052183052756, -0, , , -4.74E-13, 1.2696899999999999E-08
DataValue, 8.8, 2, 1.2694599999999999E-08, -2.72E-13, 1.2694599999999999E-08, 0.00011267031552276757, -0, , , -2.72E-13, 1.2694599999999999E-08
DataValue, 9, 2, 1.2694199999999999E-08, -3.06E-13, 1.2694199999999999E-08, 0.00011266854041834393, -0, , , -3.06E-13, 1.2694199999999999E-08
DataValue, 9.2000000000000011, 2, 1.2684999999999999E-08, -3.5800000000000004E-13, 1.2684999999999999E-08, 0.00011262770529492288, -0, , , -3.5800000000000004E-13, 1.2684999999999999E-08
DataValue, 9.4, 2, 1.2683399999999999E-08, -3.3E-13, 1.2683399999999999E-08, 0.0001126206020228981, -0, , , -3.3E-13, 1.2683399999999999E-08
DataValue, 9.6, 2, 1.2680699999999998E-08, -4.9E-13, 1.2680699999999998E-08, 0.00011260861423532393, -0, , , -4.9E-13, 1.2680699999999998E-08
DataValue, 9.8, 2, 1.2681499999999998E-08, -2.9700000000000005E-13, 1.2681499999999998E-08, 0.00011261216630542189, -0, , , -2.9700000000000005E-13, 1.2681499999999998E-08
DataValue, 10, 2, 1.2678299999999999E-08, -5.34E-13, 1.2678299999999999E-08, 0.000112597957352698, -0, , , -5.34E-13, 1.2678299999999999E-08
DataValue, 10.200000000000001, 2, 1.26739E-08, -5.7200000000000009E-13, 1.26739E-08, 0.00011257841711447181, -0, , , -5.7200000000000009E-13, 1.26739E-08
DataValue, 10.4, 2, 1.2670599999999998E-08, -4.33E-13, 1.2670599999999998E-08, 0.00011256375970977515, 0, , , -4.33E-13, 1.2670599999999998E-08
DataValue, 10.6, 2, 1.26799E-08, -6.7300000000000006E-13, 1.26799E-08, 0.0001126050620531777, 0, , , -6.7300000000000006E-13, 1.26799E-08
DataValue, 10.8, 2, 1.2671599999999999E-08, -4.2000000000000003E-13, 1.2671599999999999E-08, 0.00011256820154910532, -0, , , -4.2000000000000003E-13, 1.2671599999999999E-08
DataValue, 11, 2, 1.2664799999999999E-08, -5.0600000000000007E-13, 1.2664799999999999E-08, 0.00011253799358438909, -0, , , -5.0600000000000007E-13, 1.2664799999999999E-08
DataValue, 11.200000000000001, 2, 1.2667399999999999E-08, -3.2100000000000005E-13, 1.2667399999999999E-08, 0.0001125495446459025, 0, , , -3.2100000000000005E-13, 1.2667399999999999E-08
DataValue, 11.4, 2, 1.2664899999999999E-08, -3.4400000000000005E-13, 1.2664899999999999E-08, 0.00011253843787790908, -0, , , -3.4400000000000005E-13, 1.2664899999999999E-08
DataValue, 11.6, 2, 1.2664699999999998E-08, -4.23E-13, 1.2664699999999998E-08, 0.00011253754928911504, -0, , , -4.23E-13, 1.2664699999999998E-08
DataValue, 11.8, 2, 1.2663599999999998E-08, -4.1E-13, 1.2663599999999998E-08, 0.00011253266192532725, -0, , , -4.1E-13, 1.2663599999999998E-08
DataValue, 12, 2, 1.26605E-08, -3.4800000000000003E-13, 1.26605E-08, 0.00011251888730342119, -0, , , -3.4800000000000003E-13, 1.26605E-08
DataValue, 12.200000000000001, 2, 1.2657999999999998E-08, -2.83E-13, 1.2657999999999998E-08, 0.00011250777750893491, -0, , , -2.83E-13, 1.2657999999999998E-08
DataValue, 12.4, 2, 1.2658499999999999E-08, -3.4400000000000005E-13, 1.2658499999999999E-08, 0.00011250999955559505, -0, , , -3.4400000000000005E-13, 1.2658499999999999E-08
DataValue, 12.6, 2, 1.26556E-08, -2.6300000000000004E-13, 1.26556E-08, 0.00011249711107401825, -0, , , -2.6300000000000004E-13, 1.26556E-08
DataValue, 12.8, 2, 1.2655699999999998E-08, -2.9000000000000003E-13, 1.2655699999999998E-08, 0.00011249755552899804, -0, , , -2.9000000000000003E-13, 1.2655699999999998E-08
DataValue, 13, 2, 1.26512E-08, -3.1300000000000003E-13, 1.26512E-08, 0.00011247755331620615, -0, , , -3.1300000000000003E-13, 1.26512E-08
DataValue, 13.200000000000001, 2, 1.2650499999999998E-08, -4.3100000000000003E-13, 1.2650499999999998E-08, 0.00011247444154117859, -0, , , -4.3100000000000003E-13, 1.2650499999999998E-08
DataValue, 13.4, 2, 1.2643599999999999E-08, -2.8600000000000004E-13, 1.2643599999999999E-08, 0.000112443763722138, -0, , , -2.8600000000000004E-13, 1.2643599999999999E-08
DataValue, 13.6, 2, 1.26359E-08, -3.51E-13, 1.26359E-08, 0.00011240951916986389, -0, , , -3.51E-13, 1.26359E-08
DataValue, 13.8, 2, 1.26389E-08, -3.51E-13, 1.26389E-08, 0.00011242286244354392, -0, , , -3.51E-13, 1.26389E-08
DataValue, 14, 2, 1.2635599999999998E-08, -3.3300000000000005E-13, 1.2635599999999998E-08, 0.00011240818475538158, -0, , , -3.3300000000000005E-13, 1.2635599999999998E-08
